is_proj_med	num_extlinks	num_pages
false	797	1
false	966	1
false	1133	1
false	761	1
false	1178	1
false	716	1
false	1069	1
false	1055	1
false	2315	1
false	3058	1
false	1279	1
true	963	1
true	949	1
false	2035	1
false	1772	1
false	1914	1
false	1881	1
false	881	1
false	1380	1
false	949	1
false	810	1
false	729	1
false	970	1
true	407	1
false	926	1
false	1274	1
false	1244	1
false	1011	1
false	2098	1
false	2000	1
true	338	1
true	375	1
true	579	1
true	584	1
true	266	1
true	456	1
false	712	1
false	640	1
false	975	1
false	905	1
false	946	1
false	1327	1
false	1102	1
false	900	1
false	1002	1
false	1402	1
false	948	1
true	302	1
true	321	1
true	487	1
true	289	1
true	413	1
true	506	1
false	739	1
false	1190	1
false	736	1
false	1085	1
false	1351	1
false	849	1
false	1339	1
false	974	1
false	1061	1
false	2463	1
false	667	1
false	1842	1
false	1347	1
true	394	1
true	471	1
true	345	1
true	370	1
true	416	1
false	1333	1
false	1464	1
false	649	1
false	981	1
false	1868	1
false	1826	1
false	1025	1
false	838	1
false	768	1
false	699	1
false	664	1
false	911	1
false	1006	1
false	679	1
false	1127	1
false	3108	1
false	2274	1
true	515	1
true	759	1
true	737	1
true	481	1
true	530	1
false	1084	1
false	1191	1
false	1086	1
false	1042	1
false	1040	1
false	992	1
false	915	1
false	886	1
false	1157	1
false	744	1
false	2086	1
false	1208	1
true	718	1
true	305	1
true	694	1
false	892	1
false	869	1
false	600	1
false	923	1
false	1013	1
false	1111	1
false	780	1
false	1171	1
false	815	1
false	969	1
false	896	1
false	779	1
true	605	1
false	3250	1
false	837	1
true	419	1
true	848	1
true	493	1
true	242	1
true	1036	1
true	219	1
true	337	1
false	1783	1
false	1984	1
false	954	1
false	1000	1
false	1122	1
false	745	1
false	1154	1
false	841	1
false	875	1
false	864	1
false	972	1
false	630	1
true	391	1
false	754	1
false	1322	1
false	1878	1
false	689	1
true	387	1
true	434	1
true	206	1
true	501	1
true	469	1
true	252	1
false	1674	1
false	2220	1
false	1574	1
false	1046	1
false	814	1
false	625	1
false	714	1
false	920	1
true	583	1
false	884	1
false	803	1
false	1511	1
false	3128	1
false	3281	1
true	551	1
true	401	1
true	537	1
true	432	1
true	308	1
true	618	1
true	524	1
false	1091	1
false	898	1
false	1185	1
false	2052	1
false	9169	1
false	1047	1
false	798	1
false	847	1
false	1187	1
true	453	1
false	935	1
false	1120	1
false	836	1
false	1809	1
false	2003	1
true	324	1
true	459	1
true	364	1
true	693	1
true	1117	1
false	1863	1
false	1793	1
false	856	1
false	858	1
false	919	1
false	924	1
false	1158	1
false	1423	1
false	1049	1
false	1647	1
false	2956	1
false	1616	1
true	384	1
true	422	1
true	347	1
true	233	1
true	480	1
true	279	1
true	622	1
false	1068	1
false	1517	1
false	1985	1
false	1515	1
false	1155	1
false	1026	1
false	888	1
false	690	1
false	1009	1
false	772	1
false	857	1
false	1114	1
true	367	1
false	956	1
false	661	1
true	619	1
true	217	1
true	260	1
true	643	1
true	340	1
true	313	1
false	1072	1
false	1662	1
false	1124	1
false	1759	1
false	1492	1
false	925	1
false	1054	1
false	817	1
false	668	1
false	818	1
false	1037	1
false	777	1
true	378	1
false	1219	1
false	944	1
true	591	1
true	507	1
true	486	1
true	474	1
true	334	1
true	327	1
true	477	1
true	706	1
true	2480	1
false	1291	1
false	1176	1
false	1288	1
false	1834	1
false	891	1
false	1012	1
false	763	1
false	787	1
false	842	1
false	1117	1
false	707	1
false	2412	1
false	799	1
false	3200	1
false	1387	1
true	376	1
true	441	1
true	320	1
true	425	1
true	463	1
true	379	1
true	314	1
true	610	1
true	604	1
true	430	1
false	820	1
false	1189	1
